"Time(input)","Time(AQMS)","Longitude","Latitude","AQHI","AR%","AR%(PM)","AR%(NO2)","AR%(O3)","AR%(SO2)","PM10(ug/m3)","PM2.5(ug/m3)","NO2(ug/m3)","O3(ug/m3)","SO2(ug/m3)"
"2024070112","2024070112",114.18553490,22.28093470,3.000000,4.548653,0.678459,1.099942,2.751883,0.018369,23.480099,10.746368,22.155521,59.670277,0.986550
"2024070112","2024070112",114.18551210,22.28103510,3.000000,4.537548,0.675667,1.096176,2.747335,0.018369,23.391762,10.679657,22.075239,59.598404,0.987521
"2024070112","2024070112",114.18539990,22.28116220,3.000000,4.526443,0.672876,1.092409,2.742788,0.018370,23.303425,10.612945,21.994955,59.526535,0.988492
"2024070112","2024070112",114.18531360,22.28108220,3.000000,4.399675,0.631655,0.959605,2.790046,0.018369,21.956770,9.733169,19.263655,60.356350,0.988675
"2024070112","2024070112",114.18542880,22.28105140,3.000000,4.537548,0.675667,1.096176,2.747335,0.018369,23.391762,10.679657,22.075239,59.598404,0.987521
"2024070112","2024070112",114.18559790,22.28090990,3.000000,4.298188,0.594233,0.779642,2.905943,0.018369,20.705851,8.906713,15.427094,62.480232,0.986246
"2024070112","2024070112",114.18557770,22.28088950,3.000000,4.456556,0.648665,1.003965,2.785557,0.018369,22.491013,10.090211,20.128038,60.292770,0.986383
"2024070112","2024070112",114.18558160,22.28088130,3.000000,4.456556,0.648665,1.003965,2.785557,0.018369,22.491013,10.090211,20.128038,60.292770,0.986383
"2024070112","2024070112",114.18581250,22.28080030,3.000000,4.308589,0.596742,0.782181,2.911296,0.018369,20.785332,8.967539,15.481484,62.567722,0.985290
"2024070112","2024070112",114.18587620,22.28084670,3.000000,4.308589,0.596742,0.782181,2.911296,0.018369,20.785332,8.967539,15.481484,62.567722,0.985290
"2024070112","2024070112",114.18589620,22.28085100,3.000000,4.290019,0.590032,0.758692,2.922924,0.018370,20.570013,8.829717,15.013431,62.757881,0.983678
"2024070112","2024070112",114.18589220,22.28085540,3.000000,4.290019,0.590032,0.758692,2.922924,0.018370,20.570013,8.829717,15.013431,62.757881,0.983678
"2024070112","2024070112",114.18588220,22.28082660,3.000000,4.290019,0.590032,0.758692,2.922924,0.018370,20.570013,8.829717,15.013431,62.757881,0.983678
"2024070112","2024070112",114.18586020,22.28083310,3.000000,4.308589,0.596742,0.782181,2.911296,0.018369,20.785332,8.967539,15.481484,62.567722,0.985290
"2024070112","2024070112",114.18586030,22.28083580,3.000000,4.308589,0.596742,0.782181,2.911296,0.018369,20.785332,8.967539,15.481484,62.567722,0.985290
"2024070112","2024070112",114.18587180,22.28083470,3.000000,4.308589,0.596742,0.782181,2.911296,0.018369,20.785332,8.967539,15.481484,62.567722,0.985290
"2024070112","2024070112",114.18588830,22.28083090,3.000000,4.290019,0.590032,0.758692,2.922924,0.018370,20.570013,8.829717,15.013431,62.757881,0.983678
"2024070113","2024070113",114.18588860,22.28082910,3.000000,4.465086,0.581703,0.712940,3.153178,0.017264,19.744946,9.035892,15.896940,62.608067,1.381494
"2024070113","2024070113",114.18584980,22.28082850,3.000000,4.479858,0.587151,0.732042,3.143384,0.017281,19.861082,9.107336,16.161589,62.474514,1.383439
"2024070113","2024070113",114.18585760,22.28083300,3.000000,4.479858,0.587151,0.732042,3.143384,0.017281,19.861082,9.107336,16.161589,62.474514,1.383439
"2024070113","2024070113",114.18587870,22.28082690,3.000000,4.465086,0.581703,0.712940,3.153178,0.017264,19.744946,9.035892,15.896940,62.608067,1.381494
"2024070113","2024070113",114.18586960,22.28082600,3.000000,4.465086,0.581703,0.712940,3.153178,0.017264,19.744946,9.035892,15.896940,62.608067,1.381494
"2024070113","2024070113",114.18586770,22.28082310,3.000000,4.465086,0.581703,0.712940,3.153178,0.017264,19.744946,9.035892,15.896940,62.608067,1.381494
"2024070113","2024070113",114.18591380,22.28083900,3.000000,4.434260,0.571714,0.683674,3.161638,0.017235,19.495335,8.864347,15.460924,62.680336,1.377034
"2024070113","2024070113",114.18591290,22.28083050,3.000000,4.434260,0.571714,0.683674,3.161638,0.017235,19.495335,8.864347,15.460924,62.680336,1.377034
"2024070113","2024070113",114.18585710,22.28082300,3.000000,4.479858,0.587151,0.732042,3.143384,0.017281,19.861082,9.107336,16.161589,62.474514,1.383439
"2024070113","2024070113",114.18586890,22.28083240,3.000000,4.479858,0.587151,0.732042,3.143384,0.017281,19.861082,9.107336,16.161589,62.474514,1.383439
"2024070113","2024070113",114.18586730,22.28083790,3.000000,4.479858,0.587151,0.732042,3.143384,0.017281,19.861082,9.107336,16.161589,62.474514,1.383439
"2024070113","2024070113",114.18588050,22.28084430,3.000000,4.479858,0.587151,0.732042,3.143384,0.017281,19.861082,9.107336,16.161589,62.474514,1.383439
"2024070113","2024070113",114.18590260,22.28083520,3.000000,4.465086,0.581703,0.712940,3.153178,0.017264,19.744946,9.035892,15.896940,62.608067,1.381494
"2024070113","2024070113",114.18587900,22.28082750,3.000000,4.465086,0.581703,0.712940,3.153178,0.017264,19.744946,9.035892,15.896940,62.608067,1.381494
"2024070113","2024070113",114.18587320,22.28083310,3.000000,4.465086,0.581703,0.712940,3.153178,0.017264,19.744946,9.035892,15.896940,62.608067,1.381494
"2024070113","2024070113",114.18584960,22.28083030,3.000000,4.479858,0.587151,0.732042,3.143384,0.017281,19.861082,9.107336,16.161589,62.474514,1.383439
"2024070113","2024070113",114.18585270,22.28081700,3.000000,4.479858,0.587151,0.732042,3.143384,0.017281,19.861082,9.107336,16.161589,62.474514,1.383439
"2024070113","2024070113",114.18584320,22.28081760,3.000000,4.479858,0.587151,0.732042,3.143384,0.017281,19.861082,9.107336,16.161589,62.474514,1.383439
"2024070113","2024070113",114.18571060,22.28050190,3.000000,5.091969,0.804857,1.770080,2.499759,0.017273,27.280073,14.038696,37.979015,51.087624,1.383159
"2024070113","2024070113",114.18653250,22.28068790,3.000000,4.670431,0.654312,1.054288,2.944631,0.017199,22.111677,10.598408,22.752596,59.085979,1.371937
"2024070113","2024070113",114.18661640,22.28057920,3.000000,4.445626,0.575542,0.709811,3.143073,0.017199,19.542513,8.896409,15.783905,62.449638,1.371940
"2024070113","2024070113",114.18658720,22.28048090,3.000000,4.445626,0.575542,0.709811,3.143073,0.017199,19.542513,8.896409,15.783905,62.449638,1.371940
"2024070113","2024070113",114.18658250,22.28048810,3.000000,4.445626,0.575542,0.709811,3.143073,0.017199,19.542513,8.896409,15.783905,62.449638,1.371940
"2024070113","2024070113",114.18660030,22.28048090,3.000000,4.566577,0.617306,0.895265,3.036822,0.017184,20.959719,9.840523,19.436911,60.836254,1.369641
"2024070113","2024070113",114.18662750,22.28062320,3.000000,4.445626,0.575542,0.709811,3.143073,0.017199,19.542513,8.896409,15.783905,62.449638,1.371940
"2024070113","2024070113",114.18637360,22.28051970,3.000000,4.417589,0.565387,0.656393,3.178576,0.017233,19.165325,8.652409,14.675350,63.030170,1.376869
"2024070113","2024070113",114.18611490,22.28058430,3.000000,5.183879,0.843530,2.070416,2.252694,0.017239,28.483227,14.827812,44.203323,46.502129,1.377872
"2024070113","2024070113",114.18582230,22.28046530,3.000000,4.959203,0.762726,1.644585,2.534631,0.017260,25.784916,13.044935,35.243587,51.692081,1.381093
"2024070113","2024070113",114.18463070,22.28095180,3.000000,4.413921,0.569179,0.695891,3.131472,0.017379,19.266466,8.715986,15.565603,62.134560,1.397327
"2024070114","2024070114",114.18451220,22.28120110,3.000000,4.391993,0.556557,0.666517,3.150193,0.018726,19.581686,7.746123,14.381800,57.410591,1.640908
"2024070114","2024070114",114.18416430,22.28162070,3.000000,4.410982,0.567904,0.732209,3.091938,0.018932,19.949759,7.957525,15.849766,56.227375,1.657923
"2024070114","2024070114",114.18412080,22.28155650,3.000000,4.410982,0.567904,0.732209,3.091938,0.018932,19.949759,7.957525,15.849766,56.227375,1.657923
"2024070114","2024070114",114.18411070,22.28156000,3.000000,4.410982,0.567904,0.732209,3.091938,0.018932,19.949759,7.957525,15.849766,56.227375,1.657923
"2024070114","2024070114",114.18411650,22.28156420,3.000000,4.410982,0.567904,0.732209,3.091938,0.018932,19.949759,7.957525,15.849766,56.227375,1.657923
"2024070114","2024070114",114.18411620,22.28156070,3.000000,4.410982,0.567904,0.732209,3.091938,0.018932,19.949759,7.957525,15.849766,56.227375,1.657923
"2024070114","2024070114",114.18452950,22.28122440,3.000000,4.391993,0.556557,0.666517,3.150193,0.018726,19.581686,7.746123,14.381800,57.410591,1.640908
"2024070114","2024070114",114.18421880,22.28116810,3.000000,4.747816,0.676032,1.089246,2.963674,0.018864,23.682489,10.445133,23.426249,54.053471,1.652593
"2024070114","2024070114",114.18418610,22.28168750,3.000000,4.500151,0.599614,0.854303,3.027319,0.018914,20.851757,8.521615,18.054947,55.188400,1.653763
"2024070114","2024070114",114.18414150,22.28178670,3.000000,4.500151,0.599614,0.854303,3.027319,0.018914,20.851757,8.521615,18.054947,55.188400,1.653763
"2024070114","2024070114",114.18388060,22.28202140,3.000000,4.456360,0.586205,0.821301,3.029907,0.018948,20.461872,8.266188,17.469130,55.208447,1.657159
"2024070114","2024070114",114.18370210,22.28208210,3.000000,5.375122,0.896437,2.061380,2.398318,0.018988,31.318878,15.457959,44.664097,43.303650,1.660661
"2024070114","2024070114",114.18369000,22.28205520,3.000000,4.975075,0.771653,1.716112,2.468325,0.018985,26.995573,12.593781,37.304207,44.490578,1.660425
"2024070114","2024070114",114.18351210,22.28194030,3.000000,4.664039,0.668926,1.335634,2.640457,0.019021,23.484777,10.273905,29.206816,47.618938,1.664350
"2024070114","2024070114",114.18354310,22.28178320,3.000000,4.904131,0.731529,1.304479,2.849101,0.019021,25.523691,11.630263,27.922878,51.965561,1.664826
"2024070114","2024070114",114.18364680,22.28155310,3.000000,4.765851,0.694209,1.324167,2.728534,0.018942,24.287506,10.832582,28.696819,49.448997,1.658925
"2024070114","2024070114",114.18373190,22.28116110,3.000000,5.079906,0.793949,1.641131,2.625917,0.018909,27.744730,13.138280,35.485718,47.644737,1.656914
"2024070114","2024070114",114.18362490,22.28089580,3.000000,4.548364,0.615291,0.956712,2.957455,0.018906,21.539541,9.041344,20.547386,53.871460,1.657764
"2024070114","2024070114",114.18389840,22.28062670,3.000000,4.883458,0.719364,1.247553,2.897712,0.018829,25.150419,11.446391,26.710842,52.960255,1.651424
"2024070114","2024070114",114.18442150,22.28025130,3.000000,5.193804,0.829641,1.802196,2.543234,0.018733,28.926895,13.963450,38.526245,46.509926,1.643455
"2024070114","2024070114",114.18359130,22.28020550,3.000000,5.530085,0.941326,2.227308,2.342613,0.018838,32.729313,16.491919,47.538776,42.830986,1.654197
"2024070114","2024070114",114.18164920,22.28040390,3.000000,4.597500,0.623893,0.916309,3.038730,0.018568,21.931936,9.335973,19.773565,55.393333,1.634745
"2024070114","2024070114",114.17013100,22.26268580,3.000000,4.329198,0.535067,0.344911,3.424687,0.024533,18.905611,6.964604,7.860369,61.895943,2.148495
"2024070114","2024070114",114.17466730,22.24887250,3.000000,4.373345,0.559738,0.370238,3.401896,0.041472,19.707069,7.023922,8.603773,61.171577,3.502935
"2024070114","2024070114",114.17471240,22.24807900,3.000000,4.366725,0.557477,0.363309,3.403724,0.042216,19.626978,6.974523,8.461814,61.211773,3.562964
"2024070114","2024070114",114.17520480,22.24791320,3.000000,4.371018,0.562983,0.366559,3.397112,0.044364,19.836109,6.975710,8.617822,60.954319,3.738386
"2024070114","2024070114",114.17651110,22.24852180,3.000000,4.552351,0.629013,0.600698,3.276161,0.046479,22.092266,8.332601,13.635825,58.699665,3.912012
"2024070114","2024070114",114.17698380,22.24778830,3.000000,4.445788,0.596684,0.477661,3.322658,0.048786,20.999405,7.503651,11.113503,59.393158,4.097845
"2024070114","2024070114",114.17698690,22.24844250,3.000000,4.507689,0.615626,0.540233,3.304198,0.047632,21.637123,7.965285,12.346535,59.163429,4.006113
"2024070114","2024070114",114.17984750,22.24958070,3.000000,4.625495,0.665939,0.723278,3.184451,0.051826,23.460077,8.898687,16.256397,56.951263,4.357491
"2024070115","2024070115",114.18111690,22.25051310,3.000000,4.220757,0.582739,0.468558,3.113736,0.055725,19.028780,7.145742,8.671759,55.755600,3.586833
"2024070115","2024070115",114.18156960,22.25054260,3.000000,4.222412,0.584778,0.469786,3.111173,0.056675,19.090895,7.143922,8.659413,55.757950,3.646947
"2024070115","2024070115",114.18158040,22.25055020,3.000000,4.222412,0.584778,0.469786,3.111173,0.056675,19.090895,7.143922,8.659413,55.757950,3.646947
